Country Or Territory,NUTS Code,Air Pollutant,Category,Outcome,Health Indicator,Description Of Age Group,Population,Affected Population,Air Pollution Population Weighted Average [ug/m3],Value,Value for 100k Of Affected Population
North Macedonia,MK,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,1837071,1313415,79.6,15,1.2
North Macedonia,MK,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,1837071,1313415,21.7,4054,308.7
North Macedonia,MK,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,1837071,1313415,21.7,2324,177.0
Austria,AT,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,8978755,6750433,13.5,1100,16.3
Austria,AT,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,8978755,6750433,13.5,642,9.5
San Marino,SM,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,33693,28105,12.9,0,0.0
San Marino,SM,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,33693,5587,12.9,0,7.5
San Marino,SM,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,33693,26113,12.9,11,45.6
San Marino,SM,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,33693,26113,97.3,63,243.5
San Marino,SM,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,33693,26113,97.3,0,3.1
San Marino,SM,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,33693,33692,5586.0,25,74.6
San Marino,SM,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,33693,26113,13.8,1,5.1
North Macedonia,MK,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,1837071,1313415,14.2,291,22.2
North Macedonia,MK,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,1837071,1313415,14.2,678,51.7
North Macedonia,MK,O3,Mortality,All causes,Attributable deaths (AD),>= 25 years of age,1837071,1313415,79.6,256,19.5
San Marino,SM,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,33693,26113,13.8,0,1.5
San Marino,SM,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,33693,24400,13.8,25,105.4
San Marino,SM,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,33693,26113,13.8,19,75.0
Serbia,RS,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,6796970,5119483,16.0,590,11.5
Serbia,RS,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,6796970,5119483,16.0,2233,43.6
Serbia,RS,PM2.5,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,6796970,5119483,19.0,2646,51.7
Germany,DE,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,83233509,63277933,93.6,2043,3.2
Austria,AT,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,8978755,8978754,5576.7,5600,62.4
Austria,AT,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,8978755,2352168,10.1,5459,232.1
Austria,AT,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,8978755,6750433,10.1,347,5.1
Austria,AT,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,8978755,6750433,10.1,3722,55.1
Austria,AT,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,8978755,6750433,10.1,7504,111.2
Austria,AT,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,8978755,6750433,10.1,11702,173.4
Serbia,RS,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,6796970,5119483,16.0,558,10.9
Serbia,RS,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,6796970,5541708,16.0,637,11.5
Serbia,RS,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,6796970,5119483,94.6,15168,296.3
