Country Or Territory,NUTS Code,Air Pollutant,Category,Outcome,Health Indicator,Description Of Age Group,Population,Affected Population,Air Pollution Population Weighted Average [ug/m3],Value,Value for 100k Of Affected Population
Romania,RO,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,19038068,19038067,3757.2,1161,6.1
Romania,RO,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,19038068,13957171,14.2,501,3.6
Romania,RO,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,19038068,3941499,14.2,0,0.0
Romania,RO,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,19038068,13957171,14.2,12034,86.2
Romania,RO,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,19038068,13957171,14.2,65863,471.9
Kosovo,XK,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,1773964,1054400,14.4,35,3.4
Kosovo,XK,O3,Mortality,All causes,Attributable deaths (AD),>= 25 years of age,1773964,1054400,85.0,315,30.0
Kosovo,XK,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,1773964,1054400,85.0,3300,313.0
Sweden,SE,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,10444357,8130901,6.7,0,0.0
Sweden,SE,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,10444357,8130901,6.7,2,0.0
Sweden,SE,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,10444357,7438361,6.7,10,0.1
Sweden,SE,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,10444357,7438361,5.3,51,0.7
Andorra,AD,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,79531,56188,12.9,1,1.8
Andorra,AD,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,79531,56188,12.9,9,16.3
Andorra,AD,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,79531,56188,12.9,14,25.7
Andorra,AD,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,79531,51765,7.3,13,26.2
Andorra,AD,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,79531,51765,7.3,140,271.6
Andorra,AD,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,79531,56188,7.3,7,14.1
Kosovo,XK,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,1773964,533512,16.8,298,56.0
Kosovo,XK,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,1773964,236716,16.8,886,374.4
Kosovo,XK,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,1773964,1054400,16.8,18,1.7
Kosovo,XK,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,1773964,533512,16.8,5,1.0
Kosovo,XK,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,1773964,1054400,16.8,123,11.7
Romania,RO,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,19038068,13957171,15.9,3859,27.7
Romania,RO,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,19038068,13957171,15.9,4389,31.5
Romania,RO,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,19038068,3941499,14.2,2211,56.1
Romania,RO,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,19038068,12998510,14.2,184732,1421.2
Romania,RO,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,19038068,13957171,14.2,10117,72.5
Romania,RO,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,19038068,3941499,14.2,2211,56.1
Monaco,MC,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,38338,29753,17.1,5,19.4
Monaco,MC,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,38338,27085,17.1,5,20.9
Andorra,AD,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,79531,17807,12.9,2,15.2
Andorra,AD,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,79531,51765,12.9,6,11.8
Andorra,AD,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,79531,61723,12.9,0,0.1
Andorra,AD,O3,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,79531,56188,84.9,5,10.5
Andorra,AD,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,79531,56188,7.3,19,34.8
Andorra,AD,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,79531,56188,7.3,25,45.3
Andorra,AD,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,79531,56188,7.3,24,44.3
Spain,ES,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,45352172,34392718,14.9,2644,7.7
Spain,ES,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,45352172,34392718,14.9,10189,29.6
Spain,ES,O3,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,45352172,34392718,93.8,6118,17.8
Spain,ES,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,45352172,45352171,5331.3,2645,5.8
Spain,ES,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,45352172,34392718,10.8,27432,79.8
Spain,ES,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,45352172,34392718,10.8,37164,108.1
Romania,RO,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,19038068,13957171,15.9,476,3.4
Romania,RO,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,19038068,15096568,15.9,14,0.1
Romania,RO,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,19038068,4922539,14.2,16103,327.1
Romania,RO,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,19038068,13957171,14.2,980,7.0
Romania,RO,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,19038068,13957171,14.2,19798,141.9
Romania,RO,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,19038068,12998510,15.9,3237,24.9
Romania,RO,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,19038068,13957171,15.9,419,3.0
Romania,RO,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,19038068,15096568,15.9,637,4.2
Romania,RO,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,19038068,13957171,15.9,13719,98.3
Romania,RO,PM2.5,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,19038068,13957171,14.2,4750,34.0
Romania,RO,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,19038068,13957171,14.2,14473,103.7
Romania,RO,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,19038068,13957171,14.2,19995,143.3
Monaco,MC,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,38338,8584,10.2,0,0.0
Monaco,MC,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,38338,27085,10.2,1,6.2
Monaco,MC,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,38338,8584,10.2,3,44.7
Andorra,AD,PM2.5,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,79531,56188,7.3,7,13.2
Andorra,AD,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,79531,17807,7.3,0,0.0
Andorra,AD,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,79531,56188,7.3,18,32.1
Andorra,AD,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,79531,56188,7.3,1,3.0
Andorra,AD,PM2.5,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,79531,56188,7.3,2,3.7
Kosovo,XK,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,1773964,1054400,14.4,384,36.5
Kosovo,XK,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,1773964,1054400,16.8,1318,125.0
Kosovo,XK,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,1773964,533512,16.8,304,57.0
Andorra,AD,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,79531,17807,12.9,0,0.0
Andorra,AD,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,79531,56188,12.9,0,1.2
Andorra,AD,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,79531,56188,84.9,0,1.0
Kosovo,XK,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,1773964,533512,14.4,57,10.7
Kosovo,XK,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,1773964,1054400,16.8,5080,481.9
Kosovo,XK,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,1773964,1054400,14.4,35,3.3
Kosovo,XK,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,1773964,1054400,14.4,891,84.6
Kosovo,XK,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,1773964,1054400,85.0,11,1.1
Kosovo,XK,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,1773964,1054400,16.8,176,16.7
Kosovo,XK,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,1773964,1054400,16.8,5575,528.8
Bosnia and Herzegovina,BA,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,3464376,2609370,12.3,53,2.1
Bosnia and Herzegovina,BA,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,3464376,2609370,12.3,511,19.6
Bosnia and Herzegovina,BA,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,3464376,639799,12.3,58,9.1
Bosnia and Herzegovina,BA,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,3464376,2609370,12.3,681,26.1
Bosnia and Herzegovina,BA,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,3464376,3464375,6115.6,389,11.2
Bosnia and Herzegovina,BA,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,3464376,2609370,20.6,328,12.6
Bosnia and Herzegovina,BA,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,3464376,639799,12.3,56,8.8
Bosnia and Herzegovina,BA,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,3464376,2824576,12.3,5,0.2
Bosnia and Herzegovina,BA,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,3464376,2609370,12.3,123,4.7
Bosnia and Herzegovina,BA,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,3464376,2609370,98.5,69,2.7
Bosnia and Herzegovina,BA,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,3464376,2609370,20.6,76,2.9
Bosnia and Herzegovina,BA,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,3464376,2609370,20.6,12454,477.3
Kosovo,XK,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,1773964,1240451,14.4,64,5.2
Andorra,AD,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,79531,61723,12.9,7,11.7
Andorra,AD,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,79531,56188,12.9,7,12.6
Andorra,AD,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,79531,56188,12.9,12,22.1
Andorra,AD,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,79531,17807,12.9,2,15.6
Andorra,AD,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,79531,56188,7.3,0,1.3
Andorra,AD,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,79531,56188,7.3,27,49.8
Spain,ES,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,45352172,31987919,14.9,49958,156.2
Spain,ES,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,45352172,8195593,10.8,2863,34.9
Spain,ES,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,45352172,34392718,10.8,384,1.1
Spain,ES,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,45352172,34392718,10.8,1434,4.2
Spain,ES,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,45352172,34392718,10.8,2817,8.2
Spain,ES,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,45352172,34392718,10.8,33915,98.6
Andorra,AD,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,79531,51765,12.9,63,122.0
Andorra,AD,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,79531,17807,12.9,0,0.4
Andorra,AD,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,79531,56188,12.9,1,2.2
Kosovo,XK,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,1773964,917156,14.4,2718,296.4
Kosovo,XK,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,1773964,1240451,14.4,30,2.5
Kosovo,XK,PM2.5,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,1773964,1054400,16.8,482,45.8
Kosovo,XK,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,1773964,1054400,16.8,320,30.4
San Marino,SM,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,33693,26113,12.9,3,13.5
San Marino,SM,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,33693,26113,12.9,0,2.0
San Marino,SM,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,33693,26113,97.3,63,243.5
San Marino,SM,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,33693,26113,97.3,0,3.1
San Marino,SM,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,33693,5587,13.8,0,0.0
San Marino,SM,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,33693,5587,13.8,2,44.9
Kosovo,XK,O3,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,1773964,1054400,85.0,228,21.6
Kosovo,XK,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,1773964,1054400,16.8,64,6.1
Kosovo,XK,PM2.5,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,1773964,1054400,16.8,279,26.5
Monaco,MC,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,38338,38337,8042.0,36,95.2
Monaco,MC,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,38338,10354,10.2,27,267.6
Monaco,MC,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,38338,27085,10.2,1,6.8
Monaco,MC,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,38338,27085,10.2,28,104.1
Monaco,MC,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,38338,29753,17.1,0,0.1
Monaco,MC,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,38338,27085,17.1,9,36.3
Monaco,MC,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,38338,27085,106.5,76,284.0
San Marino,SM,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,33693,28105,12.9,0,0.0
San Marino,SM,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,33693,26113,13.8,10,39.3
San Marino,SM,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,33693,26113,13.8,48,186.7
San Marino,SM,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,33693,26113,13.8,5,21.9
San Marino,SM,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,33693,26113,13.8,51,195.5
San Marino,SM,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,33693,26113,13.8,2,11.0
San Marino,SM,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,33693,26113,13.8,59,228.0
Bosnia and Herzegovina,BA,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,3464376,2824576,12.3,144,5.1
Bosnia and Herzegovina,BA,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,3464376,2824576,12.3,49,1.8
Bosnia and Herzegovina,BA,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,3464376,639799,12.3,0,0.0
Monaco,MC,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,38338,24953,17.1,50,203.3
Monaco,MC,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,38338,8584,17.1,0,0.7
Monaco,MC,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,38338,27085,17.1,0,2.0
Monaco,MC,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,38338,27085,17.1,11,42.6
Monaco,MC,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,38338,27085,10.2,19,72.6
Monaco,MC,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,38338,27085,10.2,20,73.9
Andorra,AD,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,79531,56188,12.9,7,13.1
Andorra,AD,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,79531,61723,12.9,7,12.4
Andorra,AD,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,79531,56188,12.9,13,23.7
Andorra,AD,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,79531,79530,3586.1,3,3.9
Andorra,AD,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,79531,56188,7.3,0,0.5
Andorra,AD,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,79531,56188,7.3,5,10.5
Andorra,AD,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,79531,56188,7.3,1,3.2
Andorra,AD,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,79531,56188,7.3,20,35.7
Slovenia,SI,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,2107118,1591902,12.3,418,26.3
